abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"The radical politics of Russian literature’s most famous English translator, Constance Garnett.","“Have you ever killed anybody?” a journalist asked the visitor from Russia. The reply, The New York Times reported the next day, was a no as emphatic as you would expect from someone yet to be caught for killing the head of the Russian secret police. The man went by the name Stepniak, a revolutionary nom de guerre — Russian for “man of the steppe.”","{'main': 'Translating Tolstoy While Inciting Revolution', 'kicker': 'Essay', 'content_kicker': None, 'print_headline': 'The Agitator Translator', 'name': None, 'seo': None, 'sub': None}","['Books and Literature', 'Translation and Interpreters', 'Russian Language', 'Garnett, Constance', 'Content Type: Personal Profile', 'Tolstoy, Leo', 'Goncharov, Ivan', 'Turgenev, Ivan', 'Russia']",2023-06-28T09:00:37+0000,article,Books
"“A Terribly Serious Adventure,” by Nikhil Krishnan, brings to life the 20th-century Oxford thinkers whose methods of linguistic analysis were deeply influential and vigorously debated.","When setting out to write “A Terribly Serious Adventure: Philosophy and War at Oxford, 1900-1960,” Nikhil Krishnan certainly had his work cut out for him. How to generate excitement for a “much-maligned” philosophical tradition that hinges on finicky distinctions in language? Whose main figures were mostly well-to-do white men, routinely caricatured — and not always unfairly — for being suspicious of foreign ideas and imperiously, insufferably smug?","{'main': 'The Philosophers Who Used Word Puzzles to Understand the World', 'kicker': 'Nonfiction', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Books and Literature', 'A Terribly Serious Adventure: Philosophy and War at Oxford, 1900-1960 (Book)', 'Krishnan, Nikhil', 'Philosophy', 'Oxford University', 'Language and Languages', 'Ryle, Gilbert']",2023-06-28T09:00:48+0000,article,Books
"With so few words, most of them kid-friendly, it should be a piece of cake. But it depends on who’s holding the whisk.","In “Where the Wild Things Are,” the boy Max finds himself sailing off, in a private boat, “through night and day / and in and out of weeks / and almost over a year,” to the eponymous land. There are about a thousand little components that combine to make “Where the Wild Things Are,” for me, one of the greatest of American books, and among them is that brief phrase “in and out of weeks.” It is entirely new, yet comprehensible, positioning the reader right in the middle of that experience of time passing.","{'main': 'How Hard Could It Be to Translate a Picture Book?', 'kicker': 'Essay', 'content_kicker': None, 'print_headline': 'When a Word Is Worth a Thousand Pictures', 'name': None, 'seo': None, 'sub': None}","['Books and Literature', 'Children and Childhood', 'genre-books-childrens', 'Translation and Interpreters', 'Language and Languages', 'Where the Wild Things Are (Book)', 'Sendak, Maurice', 'Mello, Roger (Illustrator)']",2023-06-28T09:00:48+0000,article,Books
The Ukrainian counteroffensive faces an enemy nearly as daunting as the Russians: the terrain.,The Ukrainian counteroffensive faces an enemy nearly as daunting as the Russians: the terrain.,"{'main': '21 Miles of Obstacles', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Ukraine', 'Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'Maps']",2023-06-28T09:00:53+0000,multimedia,World
A Manhattan coffee outpost changed its name this month in an effort to distance itself from a fast-growing chain that elicits strong feelings from New Yorkers.,"Ashley Jaffe, an owner of Blank Slate Coffee + Kitchen in Manhattan, started getting confusing messages from friends and customers in 2021. Every few weeks, a new one would arrive, congratulating her on opening another location of her cafe.","{'main': '‘That’s Not Us!’: Blank Slate Coffee Would Like You to Know It Is Not Blank Street', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Coffeehouses', 'Trademarks and Trade Names', 'Names, Organizational', 'Blank Street Coffee', 'Slate Cafe (Manhattan, NY)', 'Manhattan (NYC)']",2023-06-28T09:00:54+0000,article,Style
"A friend told our columnist never to write about this easy Hawaii-style sherbet. Lucky for you, she did anyway.",So few childhood treats stand the test of time. ,"{'main': 'A Dessert Recipe So Good, I Was Sworn to Secrecy', 'kicker': 'Eat', 'content_kicker': None, 'print_headline': 'Churn Back Time: Built on strawberry soda and Jell-O, this sherbet is a taste of youth. ', 'name': None, 'seo': None, 'sub': None}","['Soft Drinks', 'Cooking and Cookbooks', 'Recipes', 'Ice Cream and Frozen Desserts', 'Hawaii']",2023-06-28T09:01:06+0000,article,Magazine
Some intriguing signs that the party may be doing better among seniors than is commonly thought.,"In the run-up to the 2020 presidential election, the polls showed something strange: Joe Biden was faring far better than expected among voters over age 65. Some polls showed him ahead by 10 points or more.","{'main': 'Are Democrats Actually Winning Older Voters?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Polls and Public Opinion', 'Elderly', 'Presidential Election of 2024', 'United States Politics and Government', 'internal-sub-only-nl', 'Presidential Election of 2020', 'Biden, Joseph R Jr', 'Midterm Elections (2022)', 'Voting and Voters', 'Democratic Party']",2023-06-28T09:01:09+0000,article,The Upshot
Government is not an obstacle to new ideas.,"As details emerged about the implosion last week of the Titan submersible in its descent to the wreck of the Titanic nearly two and a half miles below the surface of the North Atlantic, there was widespread anger that its owner and pilot knowingly took civilians on an uncertified vessel to a depth of crushing pressure.","{'main': 'The Myth That May Have Doomed the Titan', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Submarines and Submersibles', 'Maritime Accidents and Safety', 'Innovation', 'Regulation and Deregulation of Industry', 'Science and Technology', 'OceanGate Expeditions (Argus Expeditions Ltd)', 'Rush, Stockton (1962-2023)']",2023-06-28T09:01:10+0000,article,Opinion
"“The 272,” by Rachel L. Swarns, recounts the decision by the university’s early leaders to sell nearly 300 people enslaved on Jesuit-owned plantations in Maryland in 1838.","During the War of 1812, a large extended family of Mahoneys lived and labored as enslaved people on several plantations in southern Maryland. They were descendants of a Black woman named Ann Joice, who had arrived from England in approximately 1676 as an indentured servant. For years she served one of Maryland’s richest men, Charles Calvert, as a domestic in his manor house. In 1684 she was transferred to Calvert’s cousin Henry Darnall, a wealthy Catholic, who promptly burned her indenture papers, rendering her a slave for life.","{'main': 'The Slave Sale That Saved — and Stained — Georgetown', 'kicker': 'Nonfiction', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Books and Literature', 'Colleges and Universities', 'Black People', 'Blacks', 'Slavery (Historical)', 'Christians and Christianity', 'Swarns, Rachel L', 'Louisiana', 'Washington (DC)']",2023-06-28T09:01:11+0000,article,Books
"You really shouldn’t drink alcohol before, after or during an intense workout. But if you do, here’s what to know.","You’re at brunch with friends, and mimosas are on the house. You’re tempted, but you also want to go for a run later. What should you do? Will drinking doom your workout?","{'main': 'Can You Mix Booze and Exercise?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Exercise', 'Content Type: Service', 'Diet and Nutrition', 'Alcoholic Beverages', 'Dehydration', 'Athletics and Sports']",2023-06-28T09:01:11+0000,article,Well
"Paris men’s wear caught fire during a week of zillion-dollar spectacles, skinny fits and Jay-Z’s surprise appearance at Pharrell Williams’s debut for Louis Vuitton.","Models on Ozempic, dazzling guys in sequins, superstars everywhere you turned: Look, it’s King James! Sheesh, there goes Rihanna! OMG, Beyoncé! Those screams you’re hearing? Fangirls losing their minds for Cha Eun-woo, the pretty singer from the K-pop boy group Astro.","{'main': 'City of Light, Camera, Action', 'kicker': 'fashion review', 'content_kicker': None, 'print_headline': 'Everything Is Open for Debate', 'name': None, 'seo': None, 'sub': None}","['Fashion and Apparel', 'Fashion Shows', 'Paris Fashion Week', 'Louis Vuitton', 'Anderson, Jonathan William (1984- )', 'Kawakubo, Rei', 'Owens, Rick', 'van Noten, Dries', 'Williams, Pharrell', 'Amiri, Mike', ""Men's Fashion Week"", 'Loewe SA']",2023-06-28T09:01:12+0000,article,Style
How Marcos Witt is shaping faith in the United States.,"The sanctuary of Northside church in Charlotte, N.C., is built for joyous adoration. Enormous speakers hang from its domed ceiling, along with an elaborate system of colored lights. Its semicircular stage has wide, carpeted steps that lead down on all sides to rows and rows of wine red pews, which hold about 2,700 people. The evening I visited last February, they filled to capacity with Latino families who had come to see the evangelical superstar Marcos Witt.","{'main': 'The Christian Pop Star Bringing Latino Evangelicals to the Pews', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Breathe of God', 'name': None, 'seo': None, 'sub': None}","['Witt, Marcos', 'Evangelical Movement', 'Hispanic-Americans', 'Music', 'Illegal Immigration', 'Spanish Language', 'United States Politics and Government', 'Immigration and Emigration', 'Content Type: Personal Profile', 'Missionaries', 'Lakewood Church', 'Mexico', 'Latin America', 'Houston (Tex)']",2023-06-28T09:01:12+0000,article,Magazine
A weaker version of the independent state legislature theory will loom over the 2024 elections.,"On Tuesday, the Supreme Court decision in Moore v. Harper rejected the most extreme version of the so-called independent state legislature theory. In doing so, the court avoided any immediate and significant disruption of the structure of federal elections.","{'main': 'The Supreme Court Rejected a Dangerous Elections Theory. But It’s Not All Good News.', 'kicker': 'Guest Essay', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['State Legislatures', 'States (US)', 'Federal-State Relations (US)', 'Constitutions', 'Voting Rights, Registration and Requirements', 'Supreme Courts (State)', 'Constitution (US)', 'United States Politics and Government', 'Democratic Party', 'Republican Party', 'Supreme Court (US)', 'Roberts, John G Jr', 'North Carolina', 'Presidential Election of 2024']",2023-06-28T09:01:16+0000,article,Opinion
Corbin Carroll is off to a blazing start with the Arizona Diamondbacks. The rookie outfielder is already being compared to Mike Trout and Mookie Betts.,"The slugger could not bunt. This was no surprise — when you slug .600, why play small ball? — but it bothered Corbin Carroll.","{'main': '‘His Ability to Do Pretty Much Everything Is Crazy’', 'kicker': 'On Baseball', 'content_kicker': None, 'print_headline': 'Arizona Rookie Has Five Tools, And Is Looking To Add More', 'name': None, 'seo': None, 'sub': None}","['Carroll, Corbin', 'ARIZONA DIAMONDBACKS', 'Baseball', 'Content Type: Personal Profile']",2023-06-28T09:01:17+0000,article,Sports
"Because there’s no such thing as too much Clematis, here’s how to get a little more — and make it last a little longer.","It’s hard to imagine that the aphorism warning about too much of a good thing could ever apply to Clematis, whose charming flowers and mostly lightweight climbing vines make them irresistible.","{'main': 'More Clematis, Please: How to Make Those Flowers Last All Season', 'kicker': 'IN THE GARDEN', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Real Estate and Housing (Residential)', 'Gardens and Gardening', 'Flowers and Plants']",2023-06-28T09:01:18+0000,article,Real Estate
"Amid a flagging war effort, a popular commander turned his troops toward Russia’s own capital, undermining the government. It happened last weekend — and in 1917.","As Russian soldiers braced in their trenches in Ukraine, a charismatic military leader suddenly marched his forces on the capital. He promised to save the nation from traitors who were pushing it toward catastrophic military defeat.","{'main': 'Wagner’s Mutiny Has Century-Old Echoes of Another Russian Debacle', 'kicker': None, 'content_kicker': None, 'print_headline': 'Prigozhin’s Mutiny Has Uncanny, Century-Old Echoes', 'name': None, 'seo': None, 'sub': None}","['Putin, Vladimir V', 'Belarus', 'Russia', 'Ukraine', 'Prigozhin, Yevgeny V', 'Wagner Group', 'Mercenaries and Private Military Contractors', 'Russian Invasion of Ukraine (2022)', ""Coups D'Etat and Attempted Coups D'Etat"", 'Russian Revolution (1917)']",2023-06-28T09:01:18+0000,article,World
"During the pandemic, Joanna Patchett spent 18 harrowing months in the intensive care unit. She discovered that medicine isn’t just about science — it’s also about heart.",“It’s Never Too Late” is a series that tells the stories of people who decide to pursue their dreams on their own terms.,"{'main': 'It’s Never Too Late to Become a Nurse', 'kicker': 'it’s never too late', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Nursing and Nurses', 'Coronavirus (2019-nCoV)', 'Hospice Care', 'Hospitals', 'Content Type: Personal Profile']",2023-06-28T09:01:19+0000,article,Health
"Florida flew 49 migrants from Texas to the liberal enclave last year. Since then, a few of them have found work, friends and a new life on the wealthy island.","On a sprawling Martha’s Vineyard estate not far from the seashore, Deici Cauro adjusted a baseball cap to keep the burning sun at bay. She was crouching to pull weeds with her bare hands when a familiar voice called out from the other side of the yard.","{'main': 'How Migrants Flown to Martha’s Vineyard Came to Call It Home', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Migrants Who Now Call Martha’s Vineyard Home', 'name': None, 'seo': None, 'sub': None}","['Immigration and Emigration', 'Refugees and Displaced Persons', 'Edgartown (Mass)', ""Martha's Vineyard (Mass)"", 'Content Type: Personal Profile']",2023-06-28T09:01:25+0000,article,U.S.
